FID,IZ11CD,IZ11NM
601,S02001975,Drumchapel North
602,S02001976,Drumry East
603,S02001977,Drumry West
604,S02001978,Lochaber West
605,S02001979,Fort William North
606,S02001980,Fort William South
607,S02001981,Lochaber East and North
608,S02001982,Badenoch and Strathspey South
609,S02001983,Badenoch and Strathspey Central
610,S02001984,Badenoch and Strathspey North
611,S02001985,Nairn Rural
612,S02001786,Kirkcaldy Bennochy West
613,S02001736,Bo'ness - Kinneil
614,S02001866,Govanhill East and Aikenhead
615,S02001787,Kirkcaldy Raith
616,S02001667,Boswall and Pilton
617,S02001867,Battlefield
618,S02001737,"Blackness, Bo'ness - Carriden and Grahamsdyke"
619,S02001788,Kirkcaldy Newliston and Redcraigs
620,S02001668,Granton South and Wardieburn
621,S02001868,Strathbungo
622,S02001738,Kincardine
623,S02001789,Kirkcaldy Templehall West
624,S02001669,Granton and Royston Mains
625,S02001869,Maxwell Park
626,S02001739,Oakley Comrie and Blairhall
627,S02001790,Kirkcaldy Templehall East
628,S02001670,Granton West and Salvesen
629,S02001870,Shawlands West
630,S02001740,Saline and Gowkhall
631,S02001791,Kirkcaldy Dunnikier
632,S02001671,Muirhouse
633,S02001871,Shawlands East
634,S02001741,Valleyfield Culross and Torryburn
635,S02001792,Kirkcaldy Chapel
636,S02001672,Silverknowes and Davidson's Mains
637,S02001872,Langside
638,S02001742,Cairneyhill and Crombie
639,S02001793,Kirkcaldy Hayfield and Smeaton
640,S02001673,Cramond
641,S02001873,Pollokshaws
642,S02001743,Crossford Charlestown and Limekilns
643,S02001794,Kirkcaldy Pathhead
644,S02001674,"Barnton, Cammo and Cramond South"
645,S02001874,Carnwadric West
646,S02001744,Dunfermline Milesmark and Wellwood
647,S02001795,Kirkcaldy Gallatown and Sinclairtown
648,S02001675,Clermiston and Drumbrae
649,S02001875,Carnwadric East
650,S02001745,Dunfermline Baldridgeburn
651,S02001796,Dysart
652,S02001676,East Craigs North
653,S02001876,Newlands
654,S02001746,Dunfermline Headwell
655,S02001797,Wemyss
656,S02001677,East Craigs South
657,S02001877,Merrylee and Millbrae
658,S02001747,Dunfermline Central
659,S02001798,Thornton and Kinglassie
660,S02001678,Corstorphine North
661,S02001878,Muirend and Old Cathcart
662,S02001748,Dunfermline Brucefield
663,S02001799,Leslie and Newcastle
664,S02001679,Corstorphine
665,S02001879,Carmunnock North
666,S02001880,Carmunnock South
667,S02001881,Glenwood South
668,S02001882,Glenwood North
669,S02001883,Castlemilk
670,S02001884,Kingspark South
671,S02001885,Kingspark North
672,S02001749,Dunfermline Garvock Hill
673,S02001800,Glenrothes Macedonia and Tanshall
674,S02001680,Carrick Knowe
675,S02001750,Dunfermline Bellyeoman and Townhill
676,S02001801,Glenrothes South Parks
677,S02001681,Corstorphine South
678,S02001751,Dunfermline Duloch North and Lynebank
679,S02001802,Glenrothes Caskieberran and Rimbleton
680,S02001682,South Gyle
681,S02001752,Dunfermline Touch and Woodmill
682,S02001803,Glenrothes Auchmuty
683,S02001683,"Ratho, Ingliston and Gogar"
684,S02001753,Dunfermline Abbeyview North
685,S02001804,Glenrothes Stenton and Finglassie
686,S02001684,"Dalmeny, Kirkliston and Newbridge"
687,S02001754,Dunfermline Abbeyview South
688,S02001805,Glenrothes Pitteuchar
689,S02001685,Queensferry East
690,S02001755,Dunfermline Duloch South
691,S02001806,Glenrothes Woodside
692,S02001756,Dunfermline Masterton
693,S02001807,Glenrothes Balgeddie and Town Park
694,S02001757,Dunfermline Pitcorthie East
695,S02001808,Glenrothes Collydean
696,S02001758,Dunfermline Pitcorthie West
697,S02001809,Glenrothes Cadham and Pitcoudie
698,S02001759,Rosyth North
699,S02001810,Glenrothes Balfarg Pitcairn and Coul
700,S02001760,Rosyth East
701,S02001811,Markinch and Star
702,S02001761,Rosyth Central
703,S02001812,Windygates and Coaltown
704,S02001762,Rosyth South
705,S02001813,"Buckhaven, Denbeath and Muiredge"
706,S02001763,North Queensferry and Inverkeithing West
707,S02001814,Methil Methilhill
708,S02001764,Inverkeithing East
709,S02001815,Methil West
710,S02001765,Dalgety Bay West and Hillend
711,S02001816,Methil East
712,S02001766,Dalgety Bay Central
713,S02001817,Leven East
714,S02001767,Dalgety Bay East
715,S02001818,Leven West
716,S02001768,Crossgates and Halbeath
717,S02001819,Leven North
