"X","Y","",""
432313.425855474,400249.472261013,14213.0964408997,-48852.998412027
433264.324158986,233741.693768071,57624.2926730673,-36760.4838293217
452691.921992177,316255.590114308,142329.393571044,-85303.6258335136
154889.65607549,130962.008512736,76976.9799622036,-68176.1612785567
-81553.9260803045,93396.147400908,-495795.493764432,713294.456904149
316531.118070309,383035.331180121,-105851.716116953,-22557.3785689283
383915.901239951,333408.701322842,-74046.9121564649,27917.5641039828
378201.623796686,374111.571997734,73686.2876050291,-56443.5235523756
455998.811414399,292142.689985673,26340.8855922121,465706.922926762
661777.656415889,263765.720135474,169894.01057947,148966.071004905
689228.13939567,353772.984812339,79951.438334167,166141.296236653
547270.252446054,298384.33086639,100250.743501342,-69813.5896174355
497247.900055257,261794.29143971,93644.7056064005,-27217.5968818503
621108.52054691,308075.321586429,151656.45143332,-58213.8637493371
579158.110623384,212025.3673529,72639.2324140536,47698.2561742871
648009.130558754,131142.450945147,-138598.737491178,570316.618385701
322954.945259864,72063.4785229617,-519949.804405677,1045692.76964211
479989.546189716,260348.965676283,97230.901454081,-138899.360850329
508434.215047936,350636.372906332,175495.45643943,244382.470649254
54154.0001168102,153252.353948157,117009.087060788,-54745.4031012503
305310.608966697,202805.76939333,-12123.9797562608,-67231.6460464352
382586.460281416,255964.458914954,-58204.47468989,-64302.3242880255
237122.303916551,275966.017607089,131534.521000004,-80605.8627333747
441713.004246448,300294.151602308,-48735.8657607088,-126906.315225663
183653.088213167,277427.735365777,35618.1002174699,-132353.978664906
361925.536152656,256290.263725675,-124131.444139594,-71444.4493621628
226759.57502189,100607.56551145,-90964.0979109924,999.353496332798
206063.260394633,144703.377940666,162648.143422046,162426.852866781
536262.240701655,279789.215863693,105769.942585147,-24570.4701298782
295927.084223177,264272.850419989,-242658.570973912,578434.320974371
442669.361767997,365316.857711182,43724.2113546766,-117030.492892047
448514.147343701,322472.43804543,-64553.5333396456,-92010.6041723533
291461.114007457,256437.713459935,49437.9216342399,-30714.4155262353
424132.153859375,336402.217107776,-111640.32636072,18480.7118387702
389396.544506587,336769.284509026,690.205545074728,-128467.718303436
414390.499847139,314371.983759497,28720.6331495598,-85062.2879928586
202210.391854405,194594.369704505,93044.4606568115,-26348.7288393106
467346.489750415,284083.472573886,36951.9495229443,-88951.0420277475
339022.180821945,289085.523749398,98631.9642713718,-30701.8040675608
560751.815856602,244942.192933542,66052.9060808424,79403.2506244541
653755.079731614,240173.748908322,49749.0047082574,205105.44095102
408343.695820292,226526.396539163,9263.56485053754,338276.16282743
326930.108061266,168828.739097996,35883.5523624117,105260.215825592
480466.630906962,203791.034163381,10900.4645245624,-50761.5299818798
534386.555435053,143325.776035065,-41690.0589484929,-28710.0230948958
398249.305198171,239214.325482698,54834.8206150683,-93190.4051452744
478183.839262434,293545.583676375,58756.3282806373,36160.3782970799
399131.782337691,119157.967941118,22006.972309475,-39197.212409215
